Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"Nesne yönelimli programlamanın temel kavramlarından biri olan ve verilerin dışarıdan korunmasını sağlayan kavram hangisidir?",MULTIPLE_CHOICE,"A) Kalıtım\nB) Kapsülleme\nC) Çok biçimlilik\nD) Soyutlama",B,2,
"Aşağıdakilerden hangisi nesne yönelimli programlamanın 4 temel ilkesinden biri DEĞİLDİR?",MULTIPLE_CHOICE,"A) Inheritance\nB) Encapsulation\nC) Polymorphism\nD) Recursion",D,2,
"Bir sınıftan yeni bir nesne (instance) oluşturmak için kullanılan özel metoda ne ad verilir?",MULTIPLE_CHOICE,"A) Destructor\nB) Constructor\nC) Initializer\nD) Mutator",B,2,
"Aşağıdakilerden hangisi 'is-a' ilişkisini ifade eder?",MULTIPLE_CHOICE,"A) Composition\nB) Aggregation\nC) Inheritance\nD) Association",C,2,
"Java'da bir sınıfın başka bir sınıftan kalıtım almasını sağlayan anahtar kelime hangisidir?",MULTIPLE_CHOICE,"A) implements\nB) inherits\nC) extends\nD) derives",C,1,
"Aşağıdakilerden hangisi sadece metot imzalarını tanımlar ve hiçbir implementasyon içermez?",MULTIPLE_CHOICE,"A) Abstract class\nB) Interface\nC) Concrete class\nD) Final class",B,2,
"Aynı isimli ancak farklı parametreli birden fazla metoda sahip olma durumuna ne denir?",MULTIPLE_CHOICE,"A) Method overriding\nB) Method overloading\nC) Method hiding\nD) Method binding",B,2,
"Üst sınıftan miras alınan bir metodun alt sınıfta yeniden yazılmasına ne denir?",MULTIPLE_CHOICE,"A) Overloading\nB) Overriding\nC) Shadowing\nD) Hiding",B,2,
"Aşağıdaki erişim belirleyicilerden hangisi bir üyeye sadece tanımlandığı sınıf içinden erişim sağlar?",MULTIPLE_CHOICE,"A) public\nB) protected\nC) private\nD) default",C,1,
"Aşağıdakilerden hangisi soyutlamayı (abstraction) en iyi açıklar?",MULTIPLE_CHOICE,"A) Sınıflar arası ilişki kurmak\nB) Gereksiz detayları gizleyip sadece önemli özellikleri göstermek\nC) Aynı isimli metotlar tanımlamak\nD) Verileri sınıf dışından erişilemez yapmak",B,2,
"Java'da tüm sınıfların atası (kök sınıfı) Object sınıfıdır.",TRUE_FALSE,,true,1,
"Bir interface birden fazla interface'i extends edebilir.",TRUE_FALSE,,true,1,
"Bir sınıf birden fazla soyut sınıftan (abstract class) extends edebilir.",TRUE_FALSE,,false,1,
"static anahtar kelimesiyle tanımlanmış bir üye, sınıfın her örneği için ayrı bir kopya tutar.",TRUE_FALSE,,false,2,
"final anahtar kelimesiyle tanımlanmış bir metot alt sınıflarda override edilemez.",TRUE_FALSE,,true,1,
"Encapsulation, sınıfın iç verilerini doğrudan dışarıya açmak yerine getter ve setter metotlarıyla erişimi sağlar.",TRUE_FALSE,,true,2,
"Bir sınıfın aynı isimli farklı parametreli iki kurucu metodu (constructor) tanımlamasına ne denir?",SHORT_ANSWER,,Constructor Overloading,3,
"Türkçe karşılığı 'çok biçimlilik' olan ve aynı arayüzün farklı şekillerde davranmasına olanak tanıyan OOP ilkesinin İngilizce adı nedir?",SHORT_ANSWER,,Polymorphism,2,
"Bir alt sınıf içinden üst sınıfın metoduna veya kurucusuna erişmek için kullanılan anahtar kelime nedir?",SHORT_ANSWER,,super,2,
"İçinde en az bir soyut metot bulunduran ve doğrudan örneği (instance) oluşturulamayan sınıf türüne İngilizce ne ad verilir?",SHORT_ANSWER,,Abstract Class,3,
"UML sınıf diyagramında bir sınıfı temsil eden kutu kaç bölmeden oluşur (isim, öznitelik, metot)?",MULTIPLE_CHOICE,"A) 1\nB) 2\nC) 3\nD) 4",C,2,
"Bir nesnenin başka bir nesneyi içermesi (has-a) ilişkisi aşağıdakilerden hangisidir?",MULTIPLE_CHOICE,"A) Inheritance\nB) Composition\nC) Polymorphism\nD) Abstraction",B,2,
"Java'da çöp toplayıcı (garbage collector) temel olarak ne işe yarar?",MULTIPLE_CHOICE,"A) Kaynak kodu derler\nB) Kullanılmayan nesnelerin belleğini geri kazanır\nC) Hataları ayıklar\nD) İş parçacığı yönetir",B,2,
"Bir metot içinde 'this' anahtar kelimesi neyi ifade eder?",MULTIPLE_CHOICE,"A) Üst sınıfı\nB) Geçerli (mevcut) nesneyi\nC) Statik üyeyi\nD) Yeni bir nesneyi",B,2,
"Soyut metot (abstract method) için aşağıdakilerden hangisi doğrudur?",MULTIPLE_CHOICE,"A) Gövdesi vardır\nB) Gövdesi yoktur ve alt sınıfta uygulanması gerekir\nC) Statiktir\nD) Final'dır",B,2,
"Java'da bir arabirimdeki (interface) metotlar varsayılan olarak hangi erişim düzeyindedir?",MULTIPLE_CHOICE,"A) private\nB) protected\nC) public\nD) package",C,2,
"Çalışma zamanında gerçekleşen çok biçimlilik türü hangisidir?",MULTIPLE_CHOICE,"A) Compile-time\nB) Runtime (dynamic)\nC) Static\nD) Overloading",B,2,
"Nesneler arası iletişim genellikle ne aracılığıyla sağlanır?",MULTIPLE_CHOICE,"A) Değişkenler\nB) Metot çağrıları\nC) Yorumlar\nD) Sabitler",B,2,
"Bir abstract class'tan doğrudan nesne (instance) oluşturulabilir.",TRUE_FALSE,,false,1,
"Aynı türden nesnelerin ortak şablonunu (öznitelik ve davranışlarını) tanımlayan yapıya İngilizce ne ad verilir?",SHORT_ANSWER,,Class,2,
