Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"d/dx (x^3) ifadesinin türevi nedir?",MULTIPLE_CHOICE,"A) 3x\nB) x^2\nC) 3x^2\nD) x^3/3",C,2,
"İntegral: ∫ 2x dx işleminin sonucu nedir?",MULTIPLE_CHOICE,"A) x^2 + C\nB) 2 + C\nC) x^2\nD) 2x^2 + C",A,2,
"lim (x→0) sin(x)/x limitinin değeri nedir?",MULTIPLE_CHOICE,"A) 0\nB) 1\nC) sonsuz\nD) tanımsız",B,2,
"d/dx (sin x) türevi nedir?",MULTIPLE_CHOICE,"A) cos x\nB) -cos x\nC) -sin x\nD) sec^2 x",A,2,
"d/dx (e^x) türevi nedir?",MULTIPLE_CHOICE,"A) e^x\nB) x·e^(x-1)\nC) e^x / x\nD) 1",A,1,
"d/dx (ln x) türevi nedir? (x > 0)",MULTIPLE_CHOICE,"A) 1/x\nB) ln x\nC) x\nD) e^x",A,2,
"İntegral: ∫ (1/x) dx işleminin sonucu nedir?",MULTIPLE_CHOICE,"A) ln|x| + C\nB) -1/x^2 + C\nC) x^(-2) + C\nD) 1",A,2,
"d/dx (cos x) türevi nedir?",MULTIPLE_CHOICE,"A) sin x\nB) -sin x\nC) cos x\nD) -cos x",B,2,
"Belirli integral ∫ (0→1) x^2 dx değeri nedir?",MULTIPLE_CHOICE,"A) 1/3\nB) 1/2\nC) 1\nD) 2/3",A,3,
"Çarpım kuralına göre (f·g)' ifadesinin açılımı nedir?",MULTIPLE_CHOICE,"A) f'·g'\nB) f'·g + f·g'\nC) f'·g - f·g'\nD) f·g",B,2,
"lim (x→∞) (1/x) limitinin değeri nedir?",MULTIPLE_CHOICE,"A) 0\nB) 1\nC) sonsuz\nD) -1",A,2,
"Kuvvet kuralına göre d/dx (x^n) ifadesi nedir?",MULTIPLE_CHOICE,"A) n·x^(n-1)\nB) x^(n-1)\nC) n·x^n\nD) x^n / n",A,1,
"İntegral: ∫ cos x dx işleminin sonucu nedir?",MULTIPLE_CHOICE,"A) sin x + C\nB) -sin x + C\nC) cos x + C\nD) -cos x + C",A,2,
"f(x) = x^2 fonksiyonunun x = 3 noktasındaki türevinin değeri nedir?",MULTIPLE_CHOICE,"A) 6\nB) 9\nC) 3\nD) 2x",A,2,
"Bir fonksiyon bir noktada türevlenebiliyorsa o noktada süreklidir.",TRUE_FALSE,,true,2,
"∫ a dx = a + C ifadesi doğrudur (a sabit bir sayıdır).",TRUE_FALSE,,false,2,
"lim (x→0) cos(x) limitinin değeri 1'dir.",TRUE_FALSE,,true,1,
"Sabit bir fonksiyonun türevi sıfırdır.",TRUE_FALSE,,true,1,
"d/dx (x^2) ifadesinin sonucu nedir? (örnek format: 2x)",SHORT_ANSWER,,2x,2,
"f(x) = 5 sabit fonksiyonunun türevi kaçtır?",SHORT_ANSWER,,0,1,
