Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"Newton'un birinci hareket yasası aşağıdakilerden hangisiyle ilgilidir?",MULTIPLE_CHOICE,"A) Eylemsizlik\nB) F = m·a\nC) Etki-tepki\nD) Yerçekimi",A,2,
"F = m·a denklemi Newton'un kaçıncı yasasıdır?",MULTIPLE_CHOICE,"A) Birinci\nB) İkinci\nC) Üçüncü\nD) Dördüncü",B,1,
"Hız-zaman grafiğinde eğrinin altında kalan alan hangi büyüklüğü verir?",MULTIPLE_CHOICE,"A) İvme\nB) Yer değiştirme\nC) Kuvvet\nD) Güç",B,3,
"Hava direncinin ihmal edildiği serbest düşmede cisimlerin ivmesi yaklaşık kaçtır?",MULTIPLE_CHOICE,"A) 9.8 m/s^2\nB) 0\nC) 1 m/s^2\nD) 98 m/s^2",A,2,
"Birim zamanda yapılan iş hangi büyüklüğü verir?",MULTIPLE_CHOICE,"A) Kuvvet\nB) Güç\nC) Enerji\nD) Momentum",B,2,
"İşin (energy/work) SI birimi nedir?",MULTIPLE_CHOICE,"A) Newton\nB) Joule\nC) Watt\nD) Pascal",B,1,
"Momentum hangi iki büyüklüğün çarpımıdır?",MULTIPLE_CHOICE,"A) Kütle ve ivme\nB) Kütle ve hız\nC) Kuvvet ve zaman\nD) Kuvvet ve yol",B,2,
"Kinetik enerji formülü aşağıdakilerden hangisidir?",MULTIPLE_CHOICE,"A) m·g·h\nB) (1/2)·m·v^2\nC) m·v\nD) F·d",B,2,
"Yerçekimi potansiyel enerjisi formülü hangisidir?",MULTIPLE_CHOICE,"A) (1/2)·m·v^2\nB) m·g·h\nC) m·a\nD) F·d",B,2,
"Gücün (power) SI birimi nedir?",MULTIPLE_CHOICE,"A) Joule\nB) Watt\nC) Newton\nD) Pascal",B,1,
"Bir cisme etki eden net kuvvet sıfır ise cisim ne yapar?",MULTIPLE_CHOICE,"A) Hızlanır\nB) Sabit hızla hareketine devam eder veya durur\nC) Yavaşlar\nD) Geri döner",B,2,
"İvmenin SI birimi nedir?",MULTIPLE_CHOICE,"A) m/s\nB) m/s^2\nC) N\nD) kg",B,1,
"Etki-tepki prensibi Newton'un kaçıncı yasasıdır?",MULTIPLE_CHOICE,"A) Birinci\nB) İkinci\nC) Üçüncü\nD) Dördüncü",C,1,
"Sürtünme kuvveti hareketin hangi yönündedir?",MULTIPLE_CHOICE,"A) Hareketle aynı yönde\nB) Harekete zıt yönde\nC) Harekete dik\nD) Yönü yoktur",B,2,
"Aşağıdakilerden hangisi vektörel bir büyüklüktür?",MULTIPLE_CHOICE,"A) Kütle\nB) Zaman\nC) Kuvvet\nD) Sıcaklık",C,2,
"Aşağıdakilerden hangisi skaler bir büyüklüktür?",MULTIPLE_CHOICE,"A) Hız\nB) Kuvvet\nC) Kütle\nD) İvme",C,2,
"Düzgün dairesel harekette merkeze doğru yönelen ivmeye ne ad verilir?",MULTIPLE_CHOICE,"A) Teğetsel ivme\nB) Merkezcil ivme\nC) Açısal hız\nD) Çizgisel hız",B,3,
"Bir yayın geri çağırıcı kuvvetini veren F = -k·x bağıntısı hangi yasadır?",MULTIPLE_CHOICE,"A) Hooke Yasası\nB) Newton Yasası\nC) Ohm Yasası\nD) Coulomb Yasası",A,2,
"İş-enerji teoremi neyi ifade eder?",MULTIPLE_CHOICE,"A) Net iş kinetik enerjideki değişime eşittir\nB) Güç işin zamana oranıdır\nC) F = m·a\nD) p = m·v",A,3,
"Serbest düşmede yerçekimi ivmesi g'nin yönü nereye doğrudur?",MULTIPLE_CHOICE,"A) Yukarı\nB) Yere (aşağı) doğru\nC) Yatay\nD) Sürekli değişir",B,1,
"Hız vektörel bir büyüklüktür.",TRUE_FALSE,,true,1,
"Sürat (speed) skaler bir büyüklüktür.",TRUE_FALSE,,true,1,
"Net kuvvet sıfır olduğunda cismin ivmesi de sıfırdır.",TRUE_FALSE,,true,2,
"Bir cismin kütlesi bulunduğu gezegene göre değişir.",TRUE_FALSE,,false,2,
"1 Joule, 1 Newton·metre'ye eşittir.",TRUE_FALSE,,true,2,
"İvme, hızın zamana göre değişim oranıdır.",TRUE_FALSE,,true,1,
"Kuvvetin SI birimi nedir?",SHORT_ANSWER,,Newton,1,
"Bir cismin kütlesi ile yerçekimi ivmesinin çarpımı hangi büyüklüğü verir?",SHORT_ANSWER,,Ağırlık,2,
"F = m·a denkleminde 'm' hangi fiziksel büyüklüğü temsil eder?",SHORT_ANSWER,,Kütle,1,
"Gücün SI birimi nedir?",SHORT_ANSWER,,Watt,2,
