Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"LIFO (son giren ilk çıkar) prensibiyle çalışan veri yapısı hangisidir?",MULTIPLE_CHOICE,"A) Queue\nB) Stack\nC) Array\nD) Tree",B,2,
"FIFO (ilk giren ilk çıkar) prensibiyle çalışan veri yapısı hangisidir?",MULTIPLE_CHOICE,"A) Stack\nB) Queue\nC) Heap\nD) Graph",B,2,
"Bir dizide (array) indeks ile elemana erişimin zaman karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(1)\nB) O(n)\nC) O(log n)\nD) O(n^2)",A,2,
"Bağlı listede (linked list) bir elemana erişimin ortalama karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(1)\nB) O(n)\nC) O(log n)\nD) O(n^2)",B,2,
"Dengeli bir ikili arama ağacında (BST) arama işleminin ortalama karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(1)\nB) O(n)\nC) O(log n)\nD) O(n log n)",C,3,
"Yığına (stack) eleman ekleme işlemine ne ad verilir?",MULTIPLE_CHOICE,"A) enqueue\nB) push\nC) insert\nD) append",B,1,
"Yığından (stack) eleman çıkarma işlemine ne ad verilir?",MULTIPLE_CHOICE,"A) dequeue\nB) pop\nC) remove\nD) delete",B,1,
"Kuyruğa (queue) eleman ekleme işlemine ne ad verilir?",MULTIPLE_CHOICE,"A) push\nB) enqueue\nC) pop\nD) insert",B,1,
"Hash tablosunda (hash table) ortalama arama karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(1)\nB) O(n)\nC) O(log n)\nD) O(n^2)",A,2,
"İkili arama (binary search) uygulanabilmesi için dizi nasıl olmalıdır?",MULTIPLE_CHOICE,"A) Sıralı\nB) Rastgele\nC) Ters sıralı\nD) Fark etmez",A,2,
"Bir ağaçta kök (root) düğümünün ayırt edici özelliği nedir?",MULTIPLE_CHOICE,"A) Çocuğu yoktur\nB) Ebeveyni yoktur\nC) Daima yapraktır\nD) İki çocuğu vardır",B,2,
"Hiç çocuğu olmayan ağaç düğümüne ne ad verilir?",MULTIPLE_CHOICE,"A) Root\nB) Leaf (yaprak)\nC) Internal\nD) Parent",B,2,
"Bir graf (graph) temel olarak hangi iki bileşenden oluşur?",MULTIPLE_CHOICE,"A) Düğüm ve kenar\nB) Kök ve yaprak\nC) Anahtar ve değer\nD) Satır ve sütun",A,2,
"Stack veri yapısı LIFO prensibiyle çalışır.",TRUE_FALSE,,true,1,
"Bir dizinin ortasına eleman eklemek/silmek ortalama O(1) karmaşıklıktadır.",TRUE_FALSE,,false,2,
"İkili arama yalnızca sıralı dizilerde doğru sonuç verir.",TRUE_FALSE,,true,2,
"Bağlı liste elemanları bellekte ardışık (contiguous) olmak zorundadır.",TRUE_FALSE,,false,2,
"LIFO mantığıyla çalışan veri yapısının İngilizce adı nedir?",SHORT_ANSWER,,Stack,2,
"FIFO mantığıyla çalışan veri yapısının İngilizce adı nedir?",SHORT_ANSWER,,Queue,2,
"Anahtar-değer eşlemesi yapan ve ortalama O(1) erişim sağlayan veri yapısının İngilizce adı nedir?",SHORT_ANSWER,,Hash Table,3,
