Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"Ohm yasası aşağıdakilerden hangisidir?",MULTIPLE_CHOICE,"A) V = I·R\nB) P = V·I\nC) V = I/R\nD) R = V·I",A,2,
"Direncin (resistance) SI birimi nedir?",MULTIPLE_CHOICE,"A) Volt\nB) Amper\nC) Ohm\nD) Watt",C,1,
"Elektrik akımının SI birimi nedir?",MULTIPLE_CHOICE,"A) Volt\nB) Amper\nC) Ohm\nD) Watt",B,1,
"Gerilimin (voltaj) SI birimi nedir?",MULTIPLE_CHOICE,"A) Amper\nB) Volt\nC) Ohm\nD) Farad",B,1,
"Bir kondansatör (kapasitör) temel olarak neyi depolar?",MULTIPLE_CHOICE,"A) Akımı\nB) Elektrik yükü/enerjisini\nC) Manyetik alanı\nD) Direnci",B,2,
"Kapasitansın SI birimi nedir?",MULTIPLE_CHOICE,"A) Henry\nB) Farad\nC) Ohm\nD) Tesla",B,2,
"Bobinin (indüktör) endüktans birimi nedir?",MULTIPLE_CHOICE,"A) Farad\nB) Henry\nC) Ohm\nD) Volt",B,2,
"Seri bağlı dirençlerde eşdeğer direnç nasıl bulunur?",MULTIPLE_CHOICE,"A) Tersleri toplanır\nB) Doğrudan toplanır\nC) Çarpılır\nD) Bölünür",B,2,
"Elektriksel güç formülü aşağıdakilerden hangisidir?",MULTIPLE_CHOICE,"A) P = V·I\nB) P = V/I\nC) P = I·R\nD) P = V + I",A,2,
"İdeal bir kondansatör kalıcı durumdaki DC devrede nasıl davranır?",MULTIPLE_CHOICE,"A) Kısa devre\nB) Açık devre\nC) Sabit direnç\nD) Kaynak",B,3,
"Kirchhoff'un akım yasası (KCL) bir düğümde neyi ifade eder?",MULTIPLE_CHOICE,"A) Giren akım çıkan akıma eşittir\nB) Gerilimler toplamı sıfırdır\nC) Güç korunur\nD) Direnç sabittir",A,3,
"İdeal bir diyot akımı hangi şekilde geçirir?",MULTIPLE_CHOICE,"A) Her iki yönde\nB) Yalnızca tek yönde\nC) Hiçbir yönde\nD) Rastgele",B,2,
"1 kiloohm (kΩ) kaç ohm'a eşittir?",MULTIPLE_CHOICE,"A) 100\nB) 1000\nC) 10000\nD) 0.001",B,1,
"Voltmetre devreye paralel bağlanır.",TRUE_FALSE,,true,1,
"Ampermetre devreye seri bağlanır.",TRUE_FALSE,,true,1,
"Sabit gerilim altında direnç arttıkça devreden geçen akım azalır.",TRUE_FALSE,,true,2,
"Kirchhoff'un gerilim yasasına (KVL) göre kapalı bir çevrimdeki gerilimlerin toplamı sıfırdır.",TRUE_FALSE,,true,2,
"Direncin SI birimi nedir?",SHORT_ANSWER,,Ohm,1,
"V = I·R bağıntısında 'I' hangi fiziksel büyüklüğü temsil eder?",SHORT_ANSWER,,Akım,2,
"Kapasitansın SI birimi nedir?",SHORT_ANSWER,,Farad,2,
