Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"Kaynak kodu satır satır okuyup çalıştıran çeviriciye ne ad verilir?",MULTIPLE_CHOICE,"A) Compiler\nB) Interpreter\nC) Assembler\nD) Linker",B,2,
"Aşağıdakilerden hangisi düşük seviyeli (low-level) bir dildir?",MULTIPLE_CHOICE,"A) Python\nB) Java\nC) Assembly\nD) JavaScript",C,2,
"C dilinde bir programın çalışması hangi fonksiyondan başlar?",MULTIPLE_CHOICE,"A) start()\nB) main()\nC) run()\nD) init()",B,1,
"Bir değişkenin tipinin çalışma zamanında belirlenmesine ne ad verilir?",MULTIPLE_CHOICE,"A) Static typing\nB) Dynamic typing\nC) Strong typing\nD) Weak typing",B,2,
"Aşağıdakilerden hangisi derlenen (compiled) bir dildir?",MULTIPLE_CHOICE,"A) Python\nB) JavaScript\nC) C++\nD) PHP",C,2,
"Program içinde değeri değişmeyen ifade için kullanılan terim hangisidir?",MULTIPLE_CHOICE,"A) variable\nB) constant\nC) pointer\nD) operator",B,1,
"Aşağıdakilerden hangisi mantıksal (logical) bir operatördür?",MULTIPLE_CHOICE,"A) +\nB) &&\nC) %\nD) =",B,2,
"Çoğu dilde eşitlik karşılaştırması için kullanılan operatör hangisidir?",MULTIPLE_CHOICE,"A) =\nB) ==\nC) =>\nD) :=",B,1,
"Bir fonksiyonun kendi kendini çağırmasına ne ad verilir?",MULTIPLE_CHOICE,"A) Iteration\nB) Recursion\nC) Overloading\nD) Polymorphism",B,2,
"Aşağıdakilerden hangisi bir döngü (loop) yapısı DEĞİLDİR?",MULTIPLE_CHOICE,"A) for\nB) while\nC) do-while\nD) switch",D,2,
"Bir değişkenin program içinde erişilebilir olduğu bölgeye ne ad verilir?",MULTIPLE_CHOICE,"A) scope\nB) heap\nC) stack\nD) namespace",A,2,
"Dinamik bellek tahsisi (dynamic allocation) genellikle belleğin hangi bölgesinde yapılır?",MULTIPLE_CHOICE,"A) Stack\nB) Heap\nC) Register\nD) Cache",B,3,
"C dilinde bir bellek adresini tutan değişken türü hangisidir?",MULTIPLE_CHOICE,"A) array\nB) pointer\nC) struct\nD) enum",B,2,
"Aşağıdakilerden hangisi nesne yönelimli bir programlama dilidir?",MULTIPLE_CHOICE,"A) C\nB) Java\nC) Assembly\nD) Brainfuck",B,1,
"İnsan tarafından okunabilen, henüz makineye çevrilmemiş koda ne ad verilir?",MULTIPLE_CHOICE,"A) Binary\nB) Source code\nC) Bytecode\nD) Object code",B,2,
"Java kaynak kodu derlendiğinde hangi ara biçime dönüşür?",MULTIPLE_CHOICE,"A) Makine kodu\nB) Bytecode\nC) Assembly\nD) Hex",B,2,
"Aşağıdakilerden hangisi bir veri tipi DEĞİLDİR?",MULTIPLE_CHOICE,"A) int\nB) float\nC) boolean\nD) loop",D,1,
"Çoğu programlama dilinde bir dizinin (array) ilk elemanının indeksi kaçtır?",MULTIPLE_CHOICE,"A) 1\nB) 0\nC) -1\nD) 2",B,1,
"Söz dizimi (syntax) hatası genellikle ne zaman tespit edilir?",MULTIPLE_CHOICE,"A) Çalışma zamanında\nB) Derleme/çözümleme zamanında\nC) Hiçbir zaman\nD) Bağlama zamanında",B,2,
"Aşağıdakilerden hangisi bir fonksiyonel programlama dilidir?",MULTIPLE_CHOICE,"A) Haskell\nB) C\nC) COBOL\nD) Pascal",A,2,
"Python yorumlanan (interpreted) bir dildir.",TRUE_FALSE,,true,1,
"Derleyici (compiler) kaynak kodu çalıştırmadan önce makine koduna çevirir.",TRUE_FALSE,,true,1,
"Global değişkenler yalnızca tanımlandıkları fonksiyon içinden erişilebilir.",TRUE_FALSE,,false,2,
"C dili sınıf (class) yapısıyla nesne yönelimli programlamayı doğrudan destekler.",TRUE_FALSE,,false,2,
"Çoğu dilde değişken isimleri bir rakamla başlayamaz.",TRUE_FALSE,,true,1,
"Java bytecode doğrudan işlemci tarafından çalıştırılır.",TRUE_FALSE,,false,2,
"Bir programlama dilinin söz dizimi kurallarının tümüne verilen genel ad nedir?",SHORT_ANSWER,,Syntax,2,
"Kaynak kodu makine koduna çeviren programa İngilizce ne ad verilir?",SHORT_ANSWER,,Compiler,2,
"Java programlarının üzerinde çalıştığı sanal makinenin kısaltması nedir?",SHORT_ANSWER,,JVM,2,
"Bir değişkene değer atamak için en yaygın kullanılan operatör simgesi nedir?",SHORT_ANSWER,,=,1,
