Soru Metni,Tip,Seçenekler,Doğru Cevap,Puan,Kategori ID
"Bir algoritmanın en kötü durum büyüme oranını ifade eden gösterim hangisidir?",MULTIPLE_CHOICE,"A) Big-O\nB) Omega\nC) Theta\nD) Sigma",A,2,
"Aşağıdakilerden hangisi 'böl ve fethet' (divide and conquer) yaklaşımına bir örnektir?",MULTIPLE_CHOICE,"A) Bubble sort\nB) Merge sort\nC) Linear search\nD) Insertion sort",B,2,
"Merge sort algoritmasının zaman karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(n)\nB) O(n^2)\nC) O(n log n)\nD) O(log n)",C,3,
"Bubble sort'un en kötü durum zaman karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(n)\nB) O(n log n)\nC) O(n^2)\nD) O(1)",C,2,
"İkili arama (binary search) algoritmasının zaman karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(n)\nB) O(log n)\nC) O(n^2)\nD) O(1)",B,2,
"Açgözlü (greedy) algoritma her adımda ne yapar?",MULTIPLE_CHOICE,"A) Tüm olasılıkları dener\nB) O anki en iyi (yerel) seçimi yapar\nC) Geriye iz sürer\nD) Rastgele seçer",B,2,
"Dinamik programlamanın temel fikri aşağıdakilerden hangisidir?",MULTIPLE_CHOICE,"A) Alt problemleri tekrar tekrar baştan çözmek\nB) Alt problem sonuçlarını saklayıp yeniden kullanmak\nC) Rastgele seçim yapmak\nD) Veriyi sıralamak",B,3,
"Aşağıdakilerden hangisi bir sıralama (sorting) algoritmasıdır?",MULTIPLE_CHOICE,"A) Dijkstra\nB) Quick sort\nC) BFS\nD) DFS",B,2,
"Ağırlıklı bir grafta en kısa yolu bulmak için kullanılan klasik algoritma hangisidir?",MULTIPLE_CHOICE,"A) Quick sort\nB) Dijkstra\nC) Merge sort\nD) Binary search",B,2,
"Big-O gösteriminde O(1) ne anlama gelir?",MULTIPLE_CHOICE,"A) Sabit zaman\nB) Doğrusal zaman\nC) Logaritmik zaman\nD) Karesel zaman",A,1,
"Doğrusal arama (linear search) algoritmasının en kötü durum karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(1)\nB) O(n)\nC) O(log n)\nD) O(n^2)",B,2,
"Quick sort algoritmasının ortalama durum zaman karmaşıklığı nedir?",MULTIPLE_CHOICE,"A) O(n)\nB) O(n log n)\nC) O(n^2)\nD) O(log n)",B,3,
"Bir problemi kendine benzer daha küçük alt problemlere çağırarak çözen teknik hangisidir?",MULTIPLE_CHOICE,"A) Iteration\nB) Recursion\nC) Hashing\nD) Sorting",B,2,
"Big-O gösterimi bir algoritmanın büyüme oranını (asimptotik davranışını) ifade eder.",TRUE_FALSE,,true,1,
"İkili arama, sıralı olmayan dizilerde de doğru sonuç verir.",TRUE_FALSE,,false,2,
"Dinamik programlama, örtüşen alt problemler içeren problemlerde etkilidir.",TRUE_FALSE,,true,2,
"Büyüme açısından O(n log n), O(n^2)'den daha yavaştır.",TRUE_FALSE,,false,2,
"Bir algoritmanın en kötü durum büyüme oranını belirten gösterimin adı nedir?",SHORT_ANSWER,,Big-O,2,
"Her adımda anlık en iyi seçimi yapan algoritma tasarım yaklaşımının İngilizce adı nedir?",SHORT_ANSWER,,Greedy,2,
"Problemi alt problemlere bölüp çözen ve sonuçları birleştiren tasarım yaklaşımının İngilizce adı nedir?",SHORT_ANSWER,,Divide and Conquer,3,
